h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
-0.2751745,-0.99525344,-0.9959323,-0.3632132,-0.93595135,-0.9967522,-0.9352062,0.6497247
-0.8883498,0.15079695,-0.10379585,-1.0,0.99998176,-0.94683546,0.9999747,0.93259144
-0.45942488,-0.9888918,-0.98977345,-0.30922928,-0.9428775,-0.9863008,-0.90750545,0.57769465
-0.5624786,-0.9612749,-0.9687365,-0.99965835,0.80388474,-0.9908751,0.6783614,0.72478443
-0.7705605,-0.73666924,-0.79787195,-0.9999998,0.99835646,-0.9795912,0.99684596,0.8460132
-0.9410245,0.10474294,0.16034429,-1.0,0.9999773,-0.94627774,0.9999636,0.8772588
-0.9003744,-0.44542238,-0.35794896,-0.9999984,0.9954959,-0.90785235,0.9960239,0.8986455
-0.8101328,-0.9275503,-0.8872201,-0.9985008,0.11238721,-0.9633682,0.48159763,0.76136565
-0.9692447,0.2332362,0.41796365,-1.0,0.9999673,-0.9414029,0.9999548,0.9022288
-0.9218309,0.3382363,0.56108963,-1.0,0.99998486,-0.74242634,0.99995553,0.94162273
-0.72775203,-0.9176807,-0.9006436,-0.9982821,0.2967029,-0.9603412,0.5207107,0.8300279
-0.7858737,-0.9299483,-0.85761154,-0.99927145,0.2623025,-0.95286644,0.3681276,0.6291254
-0.9887718,0.9141146,0.9691249,-1.0,0.9999997,-0.4249719,0.99999946,0.9491384
-0.83587015,-0.45966598,-0.49581686,-0.99999934,0.9958291,-0.89905417,0.99642193,0.82096773
-0.99229234,0.9874944,0.9948717,-1.0,1.0,0.034444522,1.0,0.96495134
-0.9179777,0.2956669,0.4574843,-1.0,0.99993646,-0.75279224,0.99994475,0.9139806
-0.6914864,-0.6312674,-0.6412794,-0.9999999,0.99540365,-0.8999172,0.99521685,0.8915431
-0.8668238,-0.6011291,-0.27797726,-0.9999999,0.9928915,-0.87139684,0.9913168,0.80102646
-0.98625755,0.98374474,0.9937107,-1.0,1.0,0.121917844,1.0,0.9703257
-0.74345845,-0.6901196,-0.8266505,-0.99999946,0.9974201,-0.97761285,0.9972903,0.82818776
-0.38669318,-0.9597982,-0.9792331,-0.99956703,0.52628493,-0.99056154,0.64655954,0.71893096
-0.9886081,0.9865391,0.99404967,-1.0,1.0,0.11680754,1.0,0.9544175
-0.95230114,0.89547414,0.9292371,-1.0,0.9999999,-0.35842037,0.9999996,0.9422092
-0.49455,-0.96786934,-0.9704017,-0.99960804,0.6884934,-0.99078035,0.5600743,0.8131727
-0.9644865,0.7887905,0.8212015,-1.0,0.99999976,-0.85426944,0.99999964,0.93849176
-0.9189577,-0.49548125,-0.09638124,-0.99999905,0.9890766,-0.8690415,0.9904522,0.7820101
-0.8012372,-0.9542458,-0.9484014,-0.99899125,0.6048095,-0.99141717,0.6207022,0.59017557
-0.97032076,0.8894889,0.93308026,-1.0,0.99999934,-0.41900414,0.9999995,0.9528393
0.11334021,-0.99559563,-0.9980502,-0.735508,-0.94122547,-0.9967387,-0.90769583,0.53339046
-0.7031547,-0.9525076,-0.965606,-0.99872226,0.17439048,-0.9911223,0.58461016,0.5821529
-0.8700157,-0.7136561,-0.62331116,-0.9999994,0.99323493,-0.9705952,0.9927642,0.79062057
-0.91050285,0.3550699,0.49279684,-1.0,0.99998397,-0.7577211,0.9999607,0.9187423
-0.80761814,-0.6014239,-0.52206063,-0.9999999,0.9910215,-0.88952863,0.9940731,0.7839743
